TT PID CT AT IO_D WT RT TRT
23 14 1 22 0 0 0 1
28 12 4 18 0 6 6 10
29 6 18 11 0 0 0 18
57 13 28 20 0 9 9 37
88 8 75 13 0 0 0 75
93 96 39 54 0 39 0 39
93 72 28 65 0 28 0 28
93 1 88 5 0 0 0 88
102 27 13 40 0 49 49 62
104 10 74 14 0 16 16 90
109 9 96 13 0 0 0 96
112 66 7 93 0 12 12 19
128 7 116 12 0 0 0 116
136 67 23 94 0 19 19 42
136 35 7 51 0 78 78 85
156 2 68 7 0 81 0 149
161 61 58 89 0 14 14 72
163 133 45 118 0 45 0 45
163 117 35 128 0 35 0 35
163 39 69 54 0 40 40 109
178 20 68 27 0 83 83 151
179 31 121 46 0 12 12 133
180 32 43 48 0 89 89 132
181 94 1 144 0 36 36 37
181 24 2 34 0 145 145 147
187 26 5 38 0 144 144 149
187 97 6 145 0 36 36 42
204 72 47 103 0 54 54 101
212 51 15 77 0 120 120 135
229 65 16 93 0 120 120 136
231 105 26 158 0 47 47 73
244 149 40 204 0 40 0 40
244 142 32 212 0 32 0 32
244 83 80 125 0 39 39 119
250 3 33 8 0 209 0 242
253 38 34 52 0 167 82 201
267 33 39 49 0 179 16 218
270 36 72 51 0 147 147 219
278 106 96 158 0 24 24 120
285 75 30 107 0 148 40 178
286 54 7 83 0 196 196 203
296 48 134 70 0 92 92 226
304 52 17 80 0 207 207 224
345 87 64 130 0 151 151 215
348 112 2 165 0 181 181 183
348 44 77 65 0 206 206 283
362 111 13 164 0 185 185 198
381 18 76 26 0 279 279 355
386 5 37 9 19 340 0 377
387 73 90 105 0 192 192 282
429 29 41 41 0 347 347 388
431 79 68 117 0 246 246 314
446 41 141 58 0 247 247 388
461 21 91 30 0 340 340 431
466 89 19 132 0 315 315 334
469 104 39 156 0 274 274 313
473 108 26 161 7 286 90 312
494 113 33 166 0 295 122 328
502 102 70 152 0 280 280 350
513 56 46 86 0 381 381 427
518 58 110 88 0 320 320 430
549 103 35 153 0 361 361 396
576 16 106 26 0 444 444 550
577 55 74 86 0 417 417 491
614 85 104 128 0 382 382 486
633 17 44 26 0 563 177 607
634 46 115 68 0 451 451 566
644 80 36 118 0 490 184 526
648 62 45 91 37 512 28 557
656 63 50 91 0 515 58 565
659 90 82 135 0 442 442 524
670 86 47 129 0 494 242 541
672 4 106 9 0 557 0 663
685 78 135 114 0 436 436 571
687 40 68 57 0 562 91 630
689 60 68 88 0 533 32 601
697 43 119 63 0 515 515 634
708 92 49 140 0 519 134 568
800 50 110 76 0 614 614 724
800 34 140 49 0 611 611 751
804 93 116 141 0 547 547 663
811 30 86 43 63 682 20 768
815 74 54 105 0 656 72 710
822 25 136 36 0 650 650 786
826 88 66 131 0 629 58 695
835 53 80 82 0 673 27 753
840 69 80 97 75 663 704 743
845 37 83 52 0 710 27 793
846 64 137 93 0 616 616 753
850 57 67 88 0 695 157 762
862 95 61 144 46 657 123 718
868 11 100 16 0 752 6 852
872 23 91 32 0 749 4 840
883 109 65 162 25 656 26 721
898 70 75 99 0 724 724 799
989 98 120 145 0 724 724 844
992 82 119 123 0 750 750 869
1003 45 115 67 0 821 24 936
1011 100 44 150 0 817 362 861
1018 91 119 137 0 762 762 881
1021 19 85 27 60 909 8 994
1026 101 105 152 0 769 247 874
1029 15 145 23 0 861 861 1006
1034 99 116 147 0 771 198 887
1040 49 101 73 0 866 34 967
1045 76 114 110 0 821 51 935
1047 47 106 68 0 873 164 979
1050 28 83 41 59 926 978 1009
1055 42 122 61 0 872 17 994
1058 77 98 111 20 849 384 947
1069 110 104 162 0 803 93 907
1070 84 131 128 0 811 91 942
1076 59 136 88 0 852 47 988
1083 71 130 102 0 851 144 981
1088 68 89 96 0 903 163 992
1090 81 104 120 0 866 406 970
1100 107 113 159 12 828 508 941
1101 22 142 30 0 929 146 1071
1113 96 139 144 0 830 73 969
Processes: 119
Avg WT: 397,    Avg RT: 191.118,    Avg TRT: 465.824,    
Migrations: 124		Migration%: 104.202%     RTF: 43.5484%,    MaxW: 56.4516%,    
Work Steal%: 36.1345%
Forked Processes%: 5.04202%
Killed Processes%: 5.04202%
Processors: 9 [1 FCFS,3 SJF,3 RR, 2 EDF]
Processors Load
P1=0.432955%,     P2=1.89237%,     P3=1.91943%,     P4=1.88696%,     P5=1.96995%,     P6=1.98799%,     P7=1.96273%,     P8=1.49189%,     P9=1.87073%,     
Processors utilization
P1=21.5633%,     P2=94.2498%,     P3=95.5975%,     P4=93.9802%,     P5=98.1132%,     P6=99.0117%,     P7=97.7538%,     P8=74.3037%,     P9=93.1716%,     
Avg  utilization = 85.305%
